state,demand_no,demand_name,source_pdf,source_section,source_page,level,section,sector,sub_sector,major_head_code,major_head_name,sub_major_head_code,minor_head_code,minor_head_name,sub_head_code,sub_head_name,detailed_head_code,detailed_head_name,object_head_code,object_head_name,full_code,voted_actuals_2024_25,charged_actuals_2024_25,total_actuals_2024_25,voted_be_2025_26,charged_be_2025_26,total_be_2025_26,voted_re_2025_26,charged_re_2025_26,total_re_2025_26,voted_be_2026_27,charged_be_2026_27,total_be_2026_27,financial_year
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,3,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,08,Centrally Sponsored Scheme for Crop Diversification/Adjustment Programme,99,No Detail Head,09,Repair and Maintenance of Staff Cars,2401.00.102.08.99.09,0,0,0,1200.0,0.0,1200.0,0.0,0.0,0.0,1200.0,0.0,1200.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,3,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,08,Centrally Sponsored Scheme for Crop Diversification/Adjustment Programme,99,No Detail Head,10,P.O.L of Office Vehicles,2401.00.102.08.99.10,0,0,0,1200.0,0.0,1200.0,0.0,0.0,0.0,1200.0,0.0,1200.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,3,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,08,Centrally Sponsored Scheme for Crop Diversification/Adjustment Programme,99,No Detail Head,16,Publications,2401.00.102.08.99.16,0,0,0,1008.0,0.0,1008.0,0.0,0.0,0.0,816.0,0.0,816.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,3,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,08,Centrally Sponsored Scheme for Crop Diversification/Adjustment Programme,99,No Detail Head,17,Hospitality and Entertainment,2401.00.102.08.99.17,0,0,0,1008.0,0.0,1008.0,0.0,0.0,0.0,816.0,0.0,816.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,3,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,08,Centrally Sponsored Scheme for Crop Diversification/Adjustment Programme,99,No Detail Head,18,"Conferences, Seminars, Workshops, Tours etc.",2401.00.102.08.99.18,0,0,0,1008.0,0.0,1008.0,120.0,0.0,120.0,816.0,0.0,816.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,4,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,08,Centrally Sponsored Scheme for Crop Diversification/Adjustment Programme,99,No Detail Head,33,Subsidies,2401.00.102.08.99.33,6516,0,6516,498576.0,0.0,498576.0,380980.0,0.0,380980.0,403152.0,0.0,403152.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,4,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,01,Agriculture Extension,31,Grant-in-Aid General (Salary),2401.00.102.11.01.31,0,0,0,170400.0,0.0,170400.0,68033.0,0.0,68033.0,0.0,0.0,0.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,5,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,01,Agriculture Extension,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.01.36,0,0,0,426.0,0.0,426.0,102049.0,0.0,102049.0,204000.0,0.0,204000.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,5,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,02,Food and Nutrition Security,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.02.36,0,0,0,31500.0,0.0,31500.0,20412.0,0.0,20412.0,24502.0,0.0,24502.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,5,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,03,National Horticulture Mission,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.03.36,0,0,0,298200.0,0.0,298200.0,298200.0,0.0,298200.0,350880.0,0.0,350880.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,5,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,04,National Mission on Edible Oil-Oilseeds,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.04.36,0,0,0,17325.0,0.0,17325.0,36746.0,0.0,36746.0,40836.0,0.0,40836.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,6,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,05,Digital Agriculture,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.05.36,0,0,0,36000.0,0.0,36000.0,77757.0,0.0,77757.0,113059.0,0.0,113059.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,6,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,06,Sub-Mission on Seed and Planting Material-Seed Village Programme,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.06.36,0,0,0,68040.0,0.0,68040.0,140616.0,0.0,140616.0,90720.0,0.0,90720.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,6,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,07,Purchase of Breeder Seeds,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.07.36,0,0,0,0.0,0.0,0.0,75085.0,0.0,75085.0,1.0,0.0,1.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,7,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,08,Mission for Aathanirbharta in Pulses,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.08.36,0,0,0,0.0,0.0,0.0,6125.0,0.0,6125.0,12248.0,0.0,12248.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,7,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,10,Strengthening of Seed Quality Control Components (100% GoI) under NFSNM: Seed Components,31,Grant-in-Aid General (Salary),2401.00.102.11.10.31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,30000.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,7,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,10,Strengthening of Seed Quality Control Components (100% GoI) under NFSNM: Seed Components,35,Grant-in-Aid for creation of capital assets,2401.00.102.11.10.35,0,0,0,0.0,0.0,0.0,18000.0,0.0,18000.0,50000.0,0.0,50000.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,7,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,11,Krishionnati Yojana Scheme,10,Strengthening of Seed Quality Control Components (100% GoI) under NFSNM: Seed Components,36,Grant-in-Aid General (Non-Salary),2401.00.102.11.10.36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,8,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,102,Food Grain Crops,13,National Mission on Natural Farming,99,No Detailed Head,36,Grant-in-Aid General (Non-Salary),2401.00.102.13.99.36,0,0,0,0.0,0.0,0.0,16172.0,0.0,16172.0,35577.0,0.0,35577.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,9,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,105,Manures and Fertilizers,15,National Mission for Sustainable Agriculture (Soil Health Management) (EY-ongoing),04,Strengthening of Existing State Soil Testing labs,21,Supplies And Materials,2401.00.105.15.04.21,0,0,0,3528.0,0.0,3528.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,10,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,105,Manures and Fertilizers,15,National Mission for Sustainable Agriculture (Soil Health Management) (EY-ongoing),08,Soil Health Card Scheme,13,Office Expenses,2401.00.105.15.08.13,0,0,0,655.0,0.0,655.0,1200.0,0.0,1200.0,612.0,0.0,612.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,10,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,105,Manures and Fertilizers,15,National Mission for Sustainable Agriculture (Soil Health Management) (EY-ongoing),08,Soil Health Card Scheme,21,Supplies And Materials,2401.00.105.15.08.21,0,0,0,44705.0,0.0,44705.0,29190.0,0.0,29190.0,24480.0,0.0,24480.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,10,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,105,Manures and Fertilizers,15,National Mission for Sustainable Agriculture (Soil Health Management) (EY-ongoing),08,Soil Health Card Scheme,50,Other Charges,2401.00.105.15.08.50,0,0,0,756.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,10,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,105,Manures and Fertilizers,15,National Mission for Sustainable Agriculture (Soil Health Management) (EY-ongoing),09,Soil Testing Projects at Village Level- Setting up of Village level Soil Testing Labs,33,Subsidies,2401.00.105.15.09.33,0,0,0,2520.0,0.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,11,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,105,Manures and Fertilizers,15,National Mission for Sustainable Agriculture (Soil Health Management) (EY-ongoing),10,"Setting up of Bio Fertilizer, Organic Fertilizer Quality Control Unit.",21,Supplies And Materials,2401.00.105.15.10.21,0,0,0,1008.0,0.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,11,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,105,Manures and Fertilizers,15,National Mission for Sustainable Agriculture (Soil Health Management) (EY-ongoing),12,Setting/Upgrading of State Fertilizer Quality Control Laboratories,21,Supplies And Materials,2401.00.105.15.12.21,0,0,0,706.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,12,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,105,Manures and Fertilizers,17,CS (AGR-28) Parampragat Krishi Vikas Yojana,99,No detailed head,36,Grant-in-Aid General (Non-Salary),2401.00.105.17.99.36,0,0,0,32130.0,0.0,32130.0,27820.0,0.0,27820.0,26071.0,0.0,26071.0,2026-27
Punjab,1,Agriculture,D01_Agriculture_CSS_PLIY.pdf,CSS,13,OH_DETAIL,Revenue,(C) Economic Services,(a) Agriculture and Allied Activities,2401,Crop Husbandry,00,109,Extension and Farmers Training,14,AGR-06 Rashtriya Krishi Vikas Yojana (including K3P),99,No detailed head,36,Grant-in-Aid General (Non-Salary),2401.00.109.14.99.36,0,0,0,504000.0,0.0,504000.0,738500.0,0.0,738500.0,408000.0,0.0,408000.0,2026-27
